N,Authors,Basin,Region,Area,Site,Elevation_m,Cyclone_name,Forest_type,Holdridge_ID,Holdridge_life_zone,MAT_MAP_ratio_X100,soil_P,Parent_material,Cyclone_frequency,Years_since_last_storm,Longitude,Latitude,Cyclone_Date,annual_pre_dates_start,annual_pre_dates_end,post_date_start,post_date_end,recovery_date_start,recovery_date_end,sub-annual_pre_dates_start,sub-annual_pre_dates_end,Cyclone_Year,MODIS_avail,annual_EVI_pre_250m,sd_annual _EVI_pre_250m,sub-annual_EVI_pre_250m,sd_sub-annual_EVI_pre_250m,EVI_post_250m,sd_post_EVI_250m,change_annual_EVI_250m,change_sub-annual_EVI_250m,annual_NDVI_pre_250m,sd_annual _NDVI_pre_250m,sub-annual_NDVI_pre_250m,sd_sub-annual_NDVI_pre_250m,NDVI_post_250m,sd_post_NDVI_250m,change_annual_NDVI_250m,change_sub-annual_NDVI_250m,annual_LAI_pre_500m,sd_annual _LAI_pre_500m,sub-annual_LAI_pre_500m,sd_sub-annual_LAI_pre_500m,LAI_post_500m,sd_post_LAI_500m,change_annual_LAI_500m,change_sub-annual_LAI_500m,Landsat 5 or 8,annual _NDVI_pre_90m,sd_annual _NDVI_pre_90m,sub-annual_NDVI_pre_90m,sd_sub-annual_NDVI_pre_90m,NDVI_post_90m,sd_post_NDVI_90m,change_annual_NDVI_90m,change_sub-annual_NDVI_90m,NDVI_recovery_avail_90m,annual_EVI_pre_90m,sd_annual _EVI_pre_90m,sub-annual_EVI_pre_90m,sd_sub-annual _EVI_pre_90m,EVI_post_90m,sd_post_EVI_90m,change_annual_EVI_90m,change_sub-annual_EVI_90m,EVI_recovery_avail_90m,annual_kNDVI_pre_90m,sd_annual _kNDVI_pre_90m,sub-annual_kNDVI_pre_90m,sd_sub-annual _kNDVI_pre_90m,kNDVI_post_90m,sd_post_kNDVI_90m,change_annual_kNDVI_90m,change_sub-annual_kNDVI_90m,kNDVI_recovery_avail_90m,change_annual_NDVI_5km,change_sub-annual_NDVI_5km,Pre_Mean_Tot_Litterfall_g/m2/day,Response_Post_Mean_Tot_Litterfall,Subannual_Pre_mean_Tot_Litterfall,Cyclone_Rainfall_mm,peak_wind_speed_ms,WMO_wind_speed_ms,D2track_km,peak enhanced Fujita scale,gale wind duration (minutes),hurricane wind duration (minutes)
11,Ostertag et al,North Atlantic,Caribbean,Puerto Rico,Cubuy,400,Georges,Moist,7,Subtropical Moist,0.92,255,Volcaniclastic,0.32,2.2,-65.8536639,18.2819211,21-Sep-98,9/20/97,9/20/98,9/22/98,10/8/98,9/22/98,9/22/00,9/20/97,9/20/98,1998,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-0.271314387,-0.26148,3.22,868,2.5,187.5,37,51.4,38,4,2355,405
13,Lodge et al,North Atlantic,Caribbean,Puerto Rico,East Peak,1000,Hugo,Cloud,5,Subtropical Lowermontane Rain,0.44,260,Volcanic siltstone,0.32,4.9,-65.75,18.266667,18-Sep-89,9/17/88,9/17/89,9/19/89,10/5/89,9/19/89,9/19/91,9/17/85,9/17/89,1989,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-0.378258731,-0.45517,0.85,580,-9999,300,46,56.6,15,5,3780,1395
12,Ostertag et al,North Atlantic,Caribbean,Puerto Rico,East Peak,1000,Georges,Cloud,5,Subtropical Lowermontane Rain,0.452,260,Volcanic siltstone,0.32,2.2,-65.75,18.266667,21-Sep-98,9/20/97,9/20/98,9/22/98,10/8/98,9/22/98,9/22/00,9/20/97,9/20/98,1998,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-0.310903932,-0.31739,1.41,314,-9999,187.5,36,51.4,38,4,2400,420
14,Lodge et al,North Atlantic,Caribbean,Puerto Rico,El Verde,425,Hugo,Tabonuco,9,Subtropical Wet,0.657,340,Volcaniclastic,0.32,4.9,-65.8199501,18.321122,18-Sep-89,9/17/88,9/17/89,9/19/89,10/5/89,9/19/89,9/19/91,9/17/85,9/17/89,1989,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-0.345612134,-0.37924,2.31,1006,4.58,175,45,56.6,15,5,3810,1410
17,Imbert & Portecop,North Atlantic,Caribbean,Guadeloupe,Grande-Terre,60,Luis,Semideciduous dry,1,Tropical Dry,2.063,670,Coral limestone,0.43,0.04,-61.45,16.45,5-Sep-95,9/4/94,9/4/95,9/6/95,9/22/95,9/6/95,9/6/97,9/4/94,9/4/95,1995,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,2.2,-9999,-9999,117,44,62.8,120,5,4665,1380
16,Imbert & Portecop,North Atlantic,Caribbean,Guadeloupe,Grande-Terre,60,Hugo,Semideciduous dry,1,Tropical Dry,2.063,670,Coral limestone,0.43,1.1,-61.45,16.45,17-Sep-89,9/16/88,9/16/89,9/18/89,10/4/89,9/18/89,9/18/91,9/16/88,9/16/89,1989,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-0.515265737,-0.52176,2.2,843,-9999,225,49,61.7,20,5,4305,1545
20,Liu et al,North Atlantic,Caribbean,Puerto Rico,Guanica,162,Maria,Semideciduous dry,3,Subtropical Dry,2.907,500,Limestone,0.22,0.4,-66.8744444,17.9715278,20-Sep-17,9/19/16,9/19/17,9/21/17,10/7/17,9/21/17,9/21/19,9/19/16,9/19/17,2017,Y,4464.26087,822.2742173,5401,534.5,4546,0,0.018309667,-0.158304018,7622.913043,1030.24564,8185,332.5,7503,0,-0.015730606,-0.083323152,50.16304348,15.51596455,58.375,6.3823487,40.25,23.27418097,-0.197616468,-0.310492505,8,0.613820643,0.059906584,0.627,0.10081865,0.662614201,0.000198027,0.079491556,0.056800959,Y,0.580201187,0.101595665,0.6041,0.10026709,0.608294566,0.002371992,0.048420065,0.006943496,Y,0.372292553,0.059906584,0.3778,0.10629374,0.413317307,0.000198027,0.110194936,0.094010871,Y,-9999,-9999,1.29,780.23,1.15,350,50,54,58,6,5430,1680
19,Liu et al,North Atlantic,Caribbean,Puerto Rico,Guanica,162,Irma,Semideciduous dry,3,Subtropical Dry,2.907,500,Limestone,0.22,2,-66.8744444,17.9715278,6-Sep-17,9/5/16,9/5/17,9/7/17,9/23/17,9/7/17,9/7/19,9/5/16,9/5/17,2017,Y,4406.913043,761.4463305,4741,125,5935,0,0.346747699,0.251845602,7589.521739,1013.028214,7801,51.5,8517,0,0.1222051,0.091783105,50.29347826,15.59928792,59.875,6.6226411,42.25,24.20098139,-0.159930841,-0.294363257,8,0.609898609,0.057361195,0.6108,0.0839688,0.722068346,0.000246296,0.183915384,0.182168215,Y,0.57371531,0.099311489,0.5718,0.07154502,0.691128715,0.001352405,0.204654474,0.208689603,Y,0.368040939,0.057361195,0.3598,0.08718463,0.478539769,0.000246296,0.300235159,0.330016034,Y,-0.144790812,-0.0462,1.29,19.75,1.15,350,48,75.6,177,5,4170,1395
18,Van Bloem et al,North Atlantic,Caribbean,Puerto Rico,Guanica,175,Georges,Semideciduous dry,3,Subtropical Dry,2.907,500,Limestone,0.22,2,-66.8744444,17.9715278,21-Sep-98,9/20/97,9/20/98,9/22/98,10/8/98,9/22/98,9/22/00,9/20/97,9/20/98,1998,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,0.52661523,0.040266002,0.5495,0.0315,-9999,-9999,-9999,-9999,Y,0.453681055,0.024938,0.4915,0.0285,-9999,-9999,-9999,-9999,Y,0.273294303,0.040266002,0.03,0.016,-9999,-9999,-9999,-9999,Y,-0.026223092,0.13607,1.31,748.2,-9999,187.5,38,49.9,20,4,2130,495
22,Liu et al,North Atlantic,Caribbean,Puerto Rico,Guayama,311,Maria,Subtropical moist,7,Subtropical Moist,1.69,340,Residuum Coluviuum Volcanic ,0.22,0.4,-66.156904,18.0586745,20-Sep-17,9/19/16,9/19/17,9/21/17,10/7/17,9/21/17,9/21/19,9/19/16,9/19/17,2017,Y,5380.217391,1274.058048,3119,788,3805,0,-0.292779506,0.219942289,7678.130435,1799.57776,4755,1853.5,7040,0,-0.083110132,0.480546793,49.79347826,19.31576178,48.25,14.184058,18.25,12.2754837,-0.633486138,-0.621761658,8,0.669954143,0.064131967,0.6385,0.21867727,0.438697922,0,-0.345182164,-0.312924163,Y,0.75633517,0.161163611,0.732625,0.16375052,0.491116936,0,-0.350662305,-0.329647588,Y,0.435869084,0.064131967,0.415,0.16534434,0.190899935,0,-0.562024603,-0.540000157,Y,-9999,-9999,4.09,1726,4.12,250,54,59.2,19,6,5175,1455
21,Liu et al,North Atlantic,Caribbean,Puerto Rico,Guayama,311,Irma,Subtropical moist,7,Subtropical Moist,1.69,340,Residuum Coluviuum Volcanic ,0.22,2,-66.156904,18.0586745,6-Sep-17,9/5/16,9/5/17,9/7/17,9/23/17,9/7/17,9/7/19,9/5/16,9/5/17,2017,Y,5262.434783,1508.463797,1765,556.5,3907,0,-0.257567996,1.213597734,7476,2137.741718,2430,471,6608,0,-0.116104869,1.719341564,49.94565217,19.33085174,50,14.508618,47.25,9.575359001,-0.053971708,-0.055,8,0.672008538,0.061836689,0.6475,0.20763542,0.748896566,0,0.114415255,0.156597013,Y,0.756595147,0.159002119,0.7252,0.15490196,0.731946556,0,-0.03257831,0.009303028,Y,0.437835193,0.061836689,0.42177,0.15685788,0.509420409,0,0.163498086,0.207815655,Y,-0.261761158,-0.39185,4.09,133.23,4.12,250,51,77.2,145,6,4125,1455
23,Harrington et al,Northeast Pacific,Hawaii,Hawaii,Halemanu,1130,Iniki,Acacia Koa,6,Subtropical Lowermontane Wet,0.928,52,Volcanic ash,0.14,9.1,-159.6713784,22.1462496,11-Sep-92,9/10/91,9/10/92,9/12/92,9/28/92,9/12/92,9/12/94,9/10/84,9/10/92,1992,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-0.229336438,-0.1966,1.73,71.33,-9999,10,43,55,4,5,1875,435
24,Liao et al,Northwest Pacific,Taiwan,Southern Taiwan,Kengting III,250,Mindulle,Evergreen broadleaf,2,Tropical Moist,1.095,87.9,Hengchun Limestone,0.8,0.91,120.78846,22.155172,1-Jul-04,6/30/03,6/30/04,7/2/04,7/18/04,7/2/04,7/2/06,6/30/03,6/30/04,2004,Y,5407.086957,1320.663598,6804,443.5,4585,0,-0.15203879,-0.326131687,8389.130435,1061.528197,9002,305,8873,0,0.057678155,-0.014330149,42.61956522,23.81579782,53.142857,19.415962,29.5,27.68122107,-0.307829635,-0.444892472,5,0.619732221,0.076933583,0.688,0.05,0.757308469,0,0.221993053,0.100739054,Y,0.578539242,0.027129433,0.6765,0.0585,0.69585513,0,0.202779482,0.028610687,Y,0.373257826,0.076933583,0.441,0.055,0.519010609,0,0.390488217,0.176894805,Y,-0.316397229,-0.6689,1.57,3.78,1.43,200,20,30.9,88,2,2290,0
28,Liao et al,Northwest Pacific,Taiwan,Southern Taiwan,Kengting III,250,Nanmadol,Evergreen broadleaf,2,Tropical Moist,1.095,87.9,Hengchun Limestone,0.8,0.23,120.78846,22.155172,4-Dec-04,12/3/03,12/3/04,12/5/04,12/21/04,12/5/04,12/5/06,12/3/03,12/3/04,2004,Y,5440.208333,1369.299425,5470,832.77541,6238,0,0.146647264,0.140402194,8532.583333,917.3459415,9049,88.52997,8921,0,0.045521579,-0.014145209,38.51086957,24.84932619,46.875,23.186405,63,4.062019202,0.635901778,0.344,5,0.648870584,0.076945824,0.498,0.15,-9999,-9999,-9999,-9999,Y,0.593902772,0.025003184,0.388,0.197,-9999,-9999,-9999,-9999,Y,0.406211235,0.076945824,0.164,0,-9999,-9999,-9999,-9999,Y,-9999,-9999,1.34,2.83,1.43,200,18,23.1,43,1,130,0
26,Liao et al,Northwest Pacific,Taiwan,Southern Taiwan,Kengting III,250,Haima,Evergreen broadleaf,2,Tropical Moist,1.095,87.9,Hengchun Limestone,0.8,0.19,120.78846,22.155172,11-Sep-04,9/10/03,9/10/04,9/12/04,9/28/04,9/12/04,9/12/06,9/10/03,9/10/04,2004,Y,5490.565217,1437.835173,7311,83,5991,0,0.091144493,-0.180549856,8516.565217,935.2218907,8837,90.5,9221,0,0.082713484,0.043453661,38.61956522,24.53074486,42,24.877478,33,26.73013281,-0.145510836,-0.214285714,5,0.639644142,0.088661364,0.666,0,-9999,-9999,-9999,-9999,Y,0.574195043,0.026606471,0.525,0,-9999,-9999,-9999,-9999,Y,0.397422347,0.088661364,0.185,0,-9999,-9999,-9999,-9999,Y,-9999,-9999,1.57,2.7,1.43,200,-9999,18,39,-9999,-9999,-9999
25,Liao et al,Northwest Pacific,Taiwan,Southern Taiwan,Kengting IV,250,Mindulle,Evergreen broadleaf,2,Tropical Moist,1.095,70.5,Hengchun Limestone,0.8,0.91,120.78846,22.155172,1-Jul-04,6/30/03,6/30/04,7/2/04,7/18/04,7/2/04,7/2/06,6/30/03,6/30/04,2004,Y,5407.086957,1320.663598,6804,443.5,4585,0,-0.15203879,-0.326131687,8389.130435,1061.528197,9002,305,8873,0,0.057678155,-0.014330149,42.61956522,23.81579782,53.142857,19.415962,29.5,27.68122107,-0.307829635,-0.444892472,5,0.619732221,0.076933583,0.688,0.05,0.757308469,0,0.221993053,0.100739054,Y,0.578539242,0.027129433,0.6765,0.0585,0.69585513,0,0.202779482,0.028610687,Y,0.373257826,0.076933583,0.441,0.055,0.519010609,0,0.390488217,0.176894805,Y,-9999,-9999,2.31,6.58,1.8,200,20,30.9,88,2,2290,0
29,Liao et al,Northwest Pacific,Taiwan,Southern Taiwan,Kengting IV,250,Nanmadol,Evergreen broadleaf,2,Tropical Moist,1.095,70.5,Hengchun Limestone,0.8,0.23,120.78846,22.155172,4-Dec-04,12/3/03,12/3/04,12/5/04,12/21/04,12/5/04,12/5/06,12/3/03,12/3/04,2004,Y,5440.208333,1369.299425,5470,832.77541,6238,0,0.146647264,0.140402194,8532.583333,917.3459415,9049,88.52997,8921,0,0.045521579,-0.014145209,38.51086957,24.84932619,46.875,23.186405,63,4.062019202,0.635901778,0.344,5,0.648870584,0.076945824,0.498,0.15,-9999,-9999,-9999,-9999,Y,0.593902772,0.025003184,0.388,0.197,-9999,-9999,-9999,-9999,Y,0.406211235,0.076945824,0.164,0,-9999,-9999,-9999,-9999,Y,-9999,-9999,1.81,3.42,1.8,200,18,23.1,43,1,130,0
